#1|lemma	meta|date	meta|lang_area	count
Eiche|Eichen	1673	NA	1
Eiche|Eichen	1735	NA	1
Eiche|Eichen	1828	NA	1
Porselein	1870	NA	1
Essenkochen	1482	obd	1
Rietlein	1557	md	1
Beerlein	1735	NA	1
Nelkenblümlein	1532	md	1
Stielchen	1764	NA	1
Stielchen	1840	NA	1
Stielchen	1843	NA	1
Sieche|Siechen	1482	obd	1
Oberhäutchen	1843	NA	1
Trichterlein	1563	md	1
Bäumlein	1539	md	1
Bäumlein	1543	md	1
Bäumlein	1563	md	1
Bäumlein	1675	NA	1
Bäumlein	1639	obd	1
Gärtlein	1719	NA	1
Gärtlein	1482	obd	1
Körnlein	1609	md	1
Schweißlöchlein	1609	md	1
Knäblein	1673	NA	1
Podagrischen	1609	obd	1
Imgleichen	1774	NA	1
Glöckchen	1828	NA	1
Purgirlein	1793	NA	1
Händlein	1539	md	1
Händlein	1588	NA	1
Zipperlein	1588	NA	1
Zipperlein	1588	obd	1
Zäserlein	1543	md	1
Zäserlein	1557	md	1
Zäserlein	1609	md	1
Zäserlein	1675	NA	1
Schröpfhörnlein	1532	md	1
Knüpflein	1735	NA	1
Knötlein	1675	NA	1
Werschlabeschen	1914	NA	1
Schwertlein	1487	obd	1
Fabesbletschen	1870	NA	1
Sprößlein	1675	NA	1
Röslein	1543	md	1
Eierkuchen	1914	NA	1
Rechen	1550	NA	1
Krautkuchen	1719	NA	1
Krönchen	1887	NA	1
Tridentiarischen	1675	NA	1
Ästchen	1764	NA	1
Ästchen	1828	NA	1
Bindlein	1673	NA	1
Pünktlein	1609	md	1
Büchschen	1870	NA	1
Meeträublein	1673	NA	1
Centaurblümlein	1673	NA	1
Hühnerdarmblättchen	1828	NA	1
Wässerlein	1588	obd	1
Glöcklein	1828	NA	1
Sämlein	1543	md	1
Sämlein	1557	md	1
Sämlein	1487	obd	1
Pfündlein	1588	NA	1
Sträuchlein	1719	NA	1
Reislein	1539	md	1
Unkochen	1482	obd	1
Büschlein	1532	md	1
Laxiersäcklein	1696	NA	1
Windlein	1687	obd	1
Gamanderlein	1588	NA	1
Keimchen	1821	NA	1
Kennzeichen	1860	NA	1
Kennzeichen	1870	NA	1
Bälglein	1588	NA	1
Bälglein	1609	md	1
Bälglein	1482	obd	1
Nebenblättchen	1764	NA	1
Nebenblättchen	1870	NA	1
Stückchen	1673	NA	1
Stückchen	1722	NA	1
Wacholdersträuchen	1843	NA	1
Krönlein	1870	NA	1
Nägelein	1557	md	1
Nägelein	1609	md	1
Nägelein	1482	obd	1
Trunklein	1588	NA	1
Ästlein	1563	md	1
Ästlein	1675	NA	1
Ästlein	1696	NA	1
Ästlein	1662	obd	1
Schwämmlein	1563	md	1
Schwämmlein	1673	NA	1
Dergleichen	1588	obd	1
Töpflein	1603	md	1
Stäudlein	1543	md	1
Stäudlein	1557	md	1
Stäudlein	1588	NA	1
Stäudlein	1609	md	1
Stäudlein	1588	obd	1
Stäudlein	1687	obd	1
Kelchläppchen	1821	NA	1
Windröschen	1860	NA	1
Windröschen	1874	NA	1
Zeltlein	1673	NA	1
Quintlein	1487	obd	1
Garkochen	1774	NA	1
Küchlein	1662	obd	1
Hülschen	1687	obd	1
Hödlein	1532	md	1
Äpfelchen	1673	NA	1
Rebenzinklein	1588	NA	1
Weiche|Weichen	1675	NA	1
Weiche|Weichen	1774	NA	1
Eichstättischen	1696	NA	1
Feldseuchen	1774	NA	1
Stücklein	1532	md	1
Stücklein	1550	NA	1
Stücklein	1603	md	1
Stücklein	1735	NA	1
Stücklein	1482	obd	1
Stücklein	1639	obd	1
Nägelblümlein	1735	NA	1
Töchterlein	1652	md	1
Kränzelein	1532	md	1
Kränzelein	1588	obd	1
Bützlein	1557	md	1
Bützlein	1588	NA	1
Ehrenpreisweiblein	1662	obd	1
Kelchlein	1719	NA	1
Tiegelein	1603	md	1
Seitenwürzelchen	1914	NA	1
Engelein	1588	obd	1
Zipflein	1543	md	1
Schösslein	1639	obd	1
Aehrchen	1769	NA	1
Bisslein	1673	NA	1
Strichlein	1557	md	1
Grübchen	1828	NA	1
Grübchen	1870	NA	1
Wermutknöpfchen	1719	NA	1
Bündlein	1673	NA	1
Fesselein	1588	obd	1
Heumachen	1769	NA	1
Wermutsknöpfchen	1719	NA	1
Rüttlein	1673	NA	1
Nachforschen	1563	md	1
Zirbelnüsslein	1543	md	1
Zirbelnüsslein	1914	NA	1
Waldeckischen	1719	NA	1
Spitzlein	1609	md	1
Rosenkuchen	1673	NA	1
Hülslein	1543	md	1
Hülslein	1563	md	1
Hülslein	1828	NA	1
Täflein	1532	md	1
Sieblein	1588	NA	1
Sieblein	1673	NA	1
Häufchen	1764	NA	1
Einmachen	1639	obd	1
Blümchen	1874	NA	1
Säumlein	1487	obd	1
Kirmsgästchen	1914	NA	1
Rachen	1532	md	1
Nebenästlein	1609	md	1
Nebenästlein	1696	NA	1
Lavendelblümlein	1673	NA	1
Judenkirschen	1828	NA	1
Balglein	1769	NA	1
Fässlein	1673	NA	1
Fässlein	1487	obd	1
Äuglein	1639	obd	1
Blackwellischen	1750	NA	1
Grüblein	1563	md	1
Grüblein	1673	NA	1
Grüblein	1639	obd	1
Engländischen	1696	NA	1
Wermutknöpflein	1828	NA	1
Zweiglein	1563	md	1
Zweiglein	1719	NA	1
Zweiglein	1662	obd	1
Häflein	1673	NA	1
Monatrettichen	1687	obd	1
Glaichen	1696	NA	1
Kränzlein	1532	md	1
ɡleichen	1793	NA	1
Blümlein	1652	md	1
Blümlein	1735	NA	1
Blümlein	1487	obd	1
gelblättchen	1821	NA	1
Kochen	1769	NA	1
Kochen	1793	NA	1
Kochen	1639	obd	1
Weibchen	1719	NA	1
Weibchen	1735	NA	1
Stübichen	1673	NA	1
Saftblättchen	1769	NA	1
Herzstechen	1828	NA	1
Würznelklein	1735	NA	1
Würznelklein	1828	NA	1
Kröseäderlein	1735	NA	1
Sälblein	1539	md	1
Sälblein	1557	md	1
Häklein	1543	md	1
Samenfächlein	1750	NA	1
Fingerlein	1539	md	1
Trünklein	1557	md	1
Trünklein	1673	NA	1
Steinpeterlein	1539	md	1
Wetterröslein	1793	NA	1
Vorwitzchen	1870	NA	1
Quäntchen	1874	NA	1
Retortchen	1722	NA	1
Träubchen	1828	NA	1
Aachen	1870	NA	1
Ziegelstücklein	1639	obd	1
Zypressennüsslein	1532	md	1
Kämmlein	1870	NA	1
Weiblein	1673	NA	1
Weiblein	1675	NA	1
Weiblein	1639	obd	1
Mäuseöhrlein	1673	NA	1
Bäuchlein	1696	NA	1
Strünkchen	1840	NA	1
Schliessfrüchtchen	1870	NA	1
Heschen	1482	obd	1
Feuerlein	1588	NA	1
Maßliebchen	1609	obd	1
Rüdlein	1539	md	1
Träublein	1563	md	1
Träublein	1719	NA	1
Träublein	1662	obd	1
Reich|Reiche|Reichen	1550	NA	1
Reich|Reiche|Reichen	1588	NA	1
Reich|Reiche|Reichen	1588	obd	1
Stuhlzäpflein	1609	md	1
Megalensischen	1696	NA	1
Gartennäglein	1735	NA	1
Gesträuchen	1828	NA	1
Jenaischen	1821	NA	1
Pontischen	1675	NA	1
Fäserlein	1675	NA	1
Fäserlein	1719	NA	1
Leistenbrüchen	1793	NA	1
Leistenbrüchen	1874	NA	1
